date,ticker,sentiment_score,article_count
2026-04-06,GOOGL,0.261,12
2026-04-07,GOOGL,0.0667,15
2026-04-08,GOOGL,0.1312,17
2026-04-09,GOOGL,0.0276,15
2026-04-10,GOOGL,0.1536,14
2026-04-13,GOOGL,0.05,12
2026-04-14,GOOGL,-0.1047,14
2026-04-15,GOOGL,-0.0868,13
2026-04-16,GOOGL,0.031,17
2026-04-17,GOOGL,0.1399,21
2026-04-20,GOOGL,0.1301,15
2026-04-21,GOOGL,0.071,19
2026-04-22,GOOGL,0.0412,12
2026-04-23,GOOGL,-0.0584,10
2026-04-24,GOOGL,0.0959,18
2026-03-16,AMZN,-0.106,19
2026-03-17,AMZN,0.0707,12
2026-03-18,AMZN,-0.034,16
2026-03-19,AMZN,0.1122,16
2026-03-20,AMZN,0.0441,15
2026-03-23,AMZN,-0.0276,10
2026-03-24,AMZN,0.1378,17
2026-03-25,AMZN,-0.0259,17
2026-03-26,AMZN,0.0384,18
2026-03-27,AMZN,-0.0493,13
2026-03-30,AMZN,0.0504,22
2026-03-31,AMZN,0.0097,18
2026-04-01,AMZN,-0.046,18
2026-04-02,AMZN,0.0207,24
2026-04-03,AMZN,0.2059,17
2026-04-06,AMZN,0.1481,17
2026-04-07,AMZN,0.1245,19
2026-04-08,AMZN,-0.1084,14
2026-04-09,AMZN,0.0617,18
2026-04-10,AMZN,-0.1651,20
2026-04-13,AMZN,0.0565,17
2026-04-14,AMZN,0.0805,21
2026-04-15,AMZN,-0.0366,10
2026-04-16,AMZN,0.0854,21
2026-04-17,AMZN,-0.0015,16
2026-04-20,AMZN,-0.0988,20
2026-04-21,AMZN,0.0797,22
2026-04-22,AMZN,0.1069,19
2026-04-23,AMZN,-0.0418,10
2026-04-24,AMZN,0.128,16
2026-03-16,NVDA,-0.0881,18
2026-03-17,NVDA,-0.0692,16
2026-03-18,NVDA,-0.1238,17
2026-03-19,NVDA,-0.089,14
2026-03-20,NVDA,-0.0557,16
2026-03-23,NVDA,0.0651,13
2026-03-24,NVDA,0.0448,10
2026-03-25,NVDA,-0.0127,15
2026-03-26,NVDA,-0.035,12
2026-03-27,NVDA,-0.1082,16
2026-03-30,NVDA,-0.0155,14
2026-03-31,NVDA,-0.2064,13
2026-04-01,NVDA,-0.064,15
2026-04-02,NVDA,-0.1175,16
2026-04-03,NVDA,-0.0633,17
2026-04-06,NVDA,-0.0677,16
2026-04-07,NVDA,-0.0401,13
2026-04-08,NVDA,0.0741,15
2026-04-09,NVDA,-0.1029,13
2026-04-10,NVDA,0.0127,19
2026-04-13,NVDA,-0.0635,13
2026-04-14,NVDA,0.0343,18
2026-04-15,NVDA,-0.1998,20
2026-04-16,NVDA,0.031,16
2026-04-17,NVDA,-0.2777,18
2026-04-20,NVDA,-0.0034,17
2026-04-21,NVDA,-0.0326,15
2026-04-22,NVDA,-0.0957,16
2026-04-23,NVDA,0.0663,10
2026-04-24,NVDA,-0.076,14
2026-03-16,TSLA,0.0186,6
2026-03-17,TSLA,0.0986,15
2026-03-18,TSLA,-0.144,8
2026-03-19,TSLA,-0.0185,17
2026-03-20,TSLA,0.0273,18
2026-03-23,TSLA,-0.0331,15
2026-03-24,TSLA,0.0784,15
2026-03-25,TSLA,0.2104,15
2026-03-26,TSLA,-0.0127,20
2026-03-27,TSLA,-0.0235,14
2026-03-30,TSLA,0.0517,11
2026-03-31,TSLA,0.1067,14
2026-04-01,TSLA,-0.0683,17
2026-04-02,TSLA,-0.0688,16
2026-04-03,TSLA,0.0274,21
2026-04-06,TSLA,-0.0449,14
2026-04-07,TSLA,0.0664,12
2026-04-08,TSLA,-0.0846,14
2026-04-09,TSLA,0.1495,16
2026-04-10,TSLA,0.0909,19
2026-04-13,TSLA,-0.0873,6
2026-04-14,TSLA,0.0664,19
2026-04-15,TSLA,-0.0016,16
2026-04-16,TSLA,0.0501,15
2026-04-17,TSLA,0.0853,14
2026-04-20,TSLA,0.1566,12
2026-04-21,TSLA,0.1764,20
2026-04-22,TSLA,-0.1074,14
2026-04-23,TSLA,0.0324,11
2026-04-24,TSLA,0.0895,14
2026-03-16,META,0.0753,16
2026-03-17,META,-0.0051,15
2026-03-18,META,0.1595,8
2026-03-19,META,0.0517,14
2026-03-20,META,0.1231,18
2026-03-23,META,-0.0013,21
2026-03-24,META,-0.1031,21
2026-03-25,META,-0.1791,16
2026-03-26,META,-0.031,12
2026-03-27,META,0.0541,20
2026-03-30,META,0.0597,14
2026-03-31,META,0.1263,17
2026-04-01,META,-0.014,19
2026-04-02,META,0.0894,9
2026-04-03,META,-0.0079,15
2026-04-06,META,0.1023,25
2026-04-07,META,-0.0365,12
2026-04-08,META,-0.0471,15
2026-04-09,META,0.0065,9
2026-04-10,META,0.11,17
2026-04-13,META,0.0708,14
2026-04-14,META,0.025,15
2026-04-15,META,0.081,12
2026-04-16,META,-0.1563,15
2026-04-17,META,0.143,13
2026-04-20,META,-0.0651,14
2026-04-21,META,0.0308,6
2026-04-22,META,0.0484,4
2026-04-23,META,-0.1537,12
2026-04-24,META,-0.0555,20
2026-03-16,AMD,0.1031,12
2026-03-17,AMD,0.064,4
2026-03-18,AMD,-0.1141,7
2026-03-19,AMD,0.0296,5
2026-03-20,AMD,0.0222,8
2026-03-23,AMD,-0.0714,7
2026-03-24,AMD,-0.039,9
2026-03-25,AMD,-0.0176,8
2026-03-26,AMD,0.1436,12
2026-03-27,AMD,-0.0018,5
2026-03-30,AMD,0.181,11
2026-03-31,AMD,0.0311,7
2026-04-01,AMD,0.0239,7
2026-04-02,AMD,-0.052,12
2026-04-03,AMD,0.0517,7
2026-04-06,AMD,0.0037,10
2026-04-07,AMD,0.0106,6
2026-04-08,AMD,0.1076,11
2026-04-09,AMD,0.015,7
2026-04-10,AMD,0.0758,3
2026-04-13,AMD,0.0455,10
2026-04-14,AMD,0.0668,9
2026-04-15,AMD,0.0198,3
2026-04-16,AMD,0.1026,8
2026-04-17,AMD,-0.0847,7
2026-04-20,AMD,0.0551,15
2026-04-21,AMD,-0.0046,6
2026-04-22,AMD,-0.0702,7
2026-04-23,AMD,0.0782,13
2026-04-24,AMD,-0.0136,16
2026-03-16,PLTR,-0.0284,8
2026-03-17,PLTR,-0.0737,4
2026-03-18,PLTR,0.0784,6
2026-03-19,PLTR,0.0683,9
2026-03-20,PLTR,-0.1607,10
2026-03-23,PLTR,0.0407,9
2026-03-24,PLTR,0.03,8
2026-03-25,PLTR,-0.1163,1
2026-03-26,PLTR,-0.0972,6
2026-03-27,PLTR,-0.1087,10
2026-03-30,PLTR,-0.1973,4
2026-03-31,PLTR,0.0443,11
2026-04-01,PLTR,-0.0662,7
2026-04-02,PLTR,-0.1291,9
2026-04-03,PLTR,0.0312,2
2026-04-06,PLTR,-0.1473,8
2026-04-07,PLTR,0.1197,5
2026-04-08,PLTR,-0.0036,5
2026-04-09,PLTR,-0.0134,6
2026-04-10,PLTR,-0.2172,8
2026-04-13,PLTR,-0.0833,10
2026-04-14,PLTR,0.0085,10
2026-04-15,PLTR,-0.1619,8
2026-04-16,PLTR,-0.0758,10
2026-04-17,PLTR,0.0788,4
2026-04-20,PLTR,0.0924,6
2026-04-21,PLTR,-0.0172,12
2026-04-22,PLTR,-0.1144,10
2026-04-23,PLTR,-0.1316,7
2026-04-24,PLTR,0.058,6
2026-03-16,SOFI,-0.1321,6
2026-03-17,SOFI,0.1438,6
2026-03-18,SOFI,-0.0471,6
2026-03-19,SOFI,0.04,7
2026-03-20,SOFI,-0.0253,7
2026-03-23,SOFI,0.0947,15
2026-03-24,SOFI,0.0026,6
2026-03-25,SOFI,0.032,7
2026-03-26,SOFI,-0.0213,8
2026-03-27,SOFI,-0.1304,9
2026-03-30,SOFI,0.1071,8
2026-03-31,SOFI,-0.1358,9
2026-04-01,SOFI,-0.0165,7
2026-04-02,SOFI,-0.0366,14
2026-04-03,SOFI,-0.1464,6
2026-04-06,SOFI,-0.1215,8
2026-04-07,SOFI,-0.1148,6
2026-04-08,SOFI,-0.0933,10
2026-04-09,SOFI,-0.0084,6
2026-04-10,SOFI,0.0119,11
2026-04-13,SOFI,-0.1757,12
2026-04-14,SOFI,0.014,7
2026-04-15,SOFI,-0.0629,9
2026-04-16,SOFI,-0.0703,10
2026-04-17,SOFI,-0.1212,4
2026-04-20,SOFI,0.0902,7
2026-04-21,SOFI,-0.0414,12
2026-04-22,SOFI,-0.1187,8
2026-04-23,SOFI,0.0013,6
2026-04-24,SOFI,-0.0012,8
2026-03-16,COIN,-0.0794,12
2026-03-17,COIN,-0.1323,13
2026-03-18,COIN,-0.0026,10
2026-03-19,COIN,-0.1408,8
2026-03-20,COIN,-0.095,5
2026-03-23,COIN,-0.0242,10
2026-03-24,COIN,-0.1519,9
2026-03-25,COIN,-0.026,9
2026-03-26,COIN,0.0709,4
2026-03-27,COIN,-0.0882,12
2026-03-30,COIN,-0.044,8
2026-03-31,COIN,-0.0749,11
2026-04-01,COIN,-0.0975,6
2026-04-02,COIN,-0.0378,11
2026-04-03,COIN,-0.2078,8
2026-04-06,COIN,0.009,6
2026-04-07,COIN,-0.0161,11
2026-04-08,COIN,-0.0135,17
2026-04-09,COIN,-0.1023,9
2026-04-10,COIN,-0.1327,5
2026-04-13,COIN,-0.0642,5
2026-04-14,COIN,0.0706,7
2026-04-15,COIN,-0.0296,10
2026-04-16,COIN,0.1011,4
2026-04-17,COIN,-0.1736,9
2026-04-20,COIN,-0.0594,7
2026-04-21,COIN,0.0366,7
2026-04-22,COIN,-0.2463,9
2026-04-23,COIN,-0.0173,9
2026-04-24,COIN,0.1154,9
2026-03-16,SNAP,-0.0175,8
2026-03-17,SNAP,0.1153,8
2026-03-18,SNAP,0.0617,5
2026-03-19,SNAP,0.1784,4
2026-03-20,SNAP,0.0818,7
2026-03-23,SNAP,-0.0218,6
2026-03-24,SNAP,0.067,7
2026-03-25,SNAP,0.1325,7
2026-03-26,SNAP,0.0554,10
2026-03-27,SNAP,-0.1655,6
2026-03-30,SNAP,0.1016,8
2026-03-31,SNAP,-0.0369,6
2026-04-01,SNAP,0.2713,12
2026-04-02,SNAP,0.1198,3
2026-04-03,SNAP,-0.0699,4
2026-04-06,SNAP,0.0399,4
2026-04-07,SNAP,-0.0496,15
2026-04-08,SNAP,0.1662,8
2026-04-09,SNAP,0.0596,6
2026-04-10,SNAP,0.0513,8
2026-04-13,SNAP,0.0008,11
2026-04-14,SNAP,0.0351,7
2026-04-15,SNAP,0.0529,9
2026-04-16,SNAP,0.001,7
2026-04-17,SNAP,-0.0941,9
2026-04-20,SNAP,0.0909,9
2026-04-21,SNAP,0.0866,5
2026-04-22,SNAP,0.0283,11
2026-04-23,SNAP,0.0079,10
2026-04-24,SNAP,-0.0188,9
2026-03-16,UBER,-0.0886,9
2026-03-17,UBER,0.0898,4
2026-03-18,UBER,0.1076,11
2026-03-19,UBER,0.0254,7
2026-03-20,UBER,-0.0728,6
2026-03-23,UBER,-0.1443,9
2026-03-24,UBER,0.0501,7
2026-03-25,UBER,-0.0101,9
2026-03-26,UBER,0.0805,8
2026-03-27,UBER,0.0479,7
2026-03-30,UBER,0.0944,3
2026-03-31,UBER,-0.0249,7
2026-04-01,UBER,-0.0007,11
2026-04-02,UBER,0.0264,9
2026-04-03,UBER,-0.0166,5
2026-04-06,UBER,-0.014,13
2026-04-07,UBER,0.0108,6
2026-04-08,UBER,-0.0003,11
2026-04-09,UBER,-0.1754,9
2026-04-10,UBER,-0.1718,5
2026-04-13,UBER,0.1829,9
2026-04-14,UBER,-0.1197,10
2026-04-15,UBER,-0.0223,10
2026-04-16,UBER,-0.1389,6
2026-04-17,UBER,0.1202,11
2026-04-20,UBER,0.1597,6
2026-04-21,UBER,0.1246,8
2026-04-22,UBER,0.0046,6
2026-04-23,UBER,0.1118,6
2026-04-24,UBER,0.0317,9
2026-03-16,NET,0.0758,3
2026-03-17,NET,0.0267,8
2026-03-18,NET,-0.0373,9
2026-03-19,NET,0.0073,10
2026-03-20,NET,0.1471,12
2026-03-23,NET,0.1501,12
2026-03-24,NET,0.0389,13
2026-03-25,NET,0.1452,8
2026-03-26,NET,0.0982,11
2026-03-27,NET,-0.0119,11
2026-03-30,NET,0.1289,10
2026-03-31,NET,-0.0088,9
2026-04-01,NET,-0.0438,8
2026-04-02,NET,0.0106,3
2026-04-03,NET,-0.0049,7
2026-04-06,NET,0.0145,5
2026-04-07,NET,0.1352,12
2026-04-08,NET,0.0991,11
2026-04-09,NET,0.0377,4
2026-04-10,NET,0.1355,12
2026-04-13,NET,0.0001,7
2026-04-14,NET,0.1138,6
2026-04-15,NET,0.0008,10
2026-04-16,NET,0.1034,11
2026-04-17,NET,0.0767,7
2026-04-20,NET,0.0398,12
2026-04-21,NET,0.0781,6
2026-04-22,NET,0.1704,3
2026-04-23,NET,-0.0185,3
2026-04-24,NET,-0.0105,5
